Year,Weeks_At_Number_1,Genre,Gender
2010,9,Pop,Female
2010,2,Hip-hop,Male
2010,1,Pop,Male
2010,5,R&B,Female
2010,2,R&B,Male
2010,4,Pop,Male
2010,1,Hip-hop,Male
2010,6,Pop,Female
2010,7,Hip-hop,Male
2010,2,Pop,Female
2010,4,Pop,Male
2010,3,Electro,Male
2010,1,Pop,Female
2010,1,R&B,Female
2010,1,Pop,Female
2010,1,Pop,Female
2010,4,Pop,Female
2011,4,Pop,Male
2011,1,Pop,Female
2011,1,Hip-hop,Male
2011,6,Pop,Female
2011,5,Electro,Female
2011,1,Pop,Female
2011,7,Pop,Female
2011,1,Hip-hop,Male
2011,6,Electro,Male
2011,2,Pop,Female
2011,4,Pop,Male
2011,5,Soul,Female
2011,10,Electro,Female
2012,2,Electro,Male
2012,2,Pop,Female
2012,3,Pop,Female
2012,1,Pop,Female
2012,6,Alternative,Male
2012,8,Pop,Male
2012,9,Bubblegum,Female
2012,2,Pop,Male
2012,3,Pop,Female
2012,9,Pop,Male
2012,3,Electro,Female
2012,6,Reggae,Male
2013,6,Hip-hop,Male
2013,5,Hip-hop,Male
2013,1,Pop,Male
2013,3,Pop,Female
2013,5,Hip-hop,Male
2013,12,Disco,Male
2013,2,Pop,Female
2013,3,Pop,Female
2013,9,Pop,Female
2013,4,Hip-hop,Male
2014,3,Pop,Male
2014,4,Trap,Female
2014,10,Soul,Male
2014,3,R&B,Male
2014,7,Electro,Female
2014,6,Pop,Male
2014,4,Pop,Female
2014,8,Pop,Female
2014,7,Electro,Female
2015,14,Funk,Male
2015,12,Hip-hop,Male
2015,1,Pop,Female
2015,6,Reggae,Male
2015,3,Pop,Male
2015,1,Pop,Male
2015,6,R&B,Male
2015,10,Soul,Female
2016,3,Pop,Male
2016,2,Pop,Male
2016,1,R&B,Male
2016,9,Reggae,Female
2016,2,Hip-hop,Male
2016,10,Hip-hop,Male
2016,1,Disco,Male
2016,4,Pop,Female
2016,12,Pop,Male
2016,7,Hip-hop,Male
2017,1,R&B,Male
2017,3,Hip-hop,Male
2017,12,Pop,Male
2017,1,Hip-hop,Male
2017,1,Hip-hop,Male
2017,1,Hip-hop,Male
2017,16,Reggae,Male
2017,3,Pop,Female
2017,3,Hip-hop,Female
2017,8,Hip-hop,Male
2017,6,Pop,Male
2018,1,Pop,Female
2018,11,Hip-hop,Male
2018,8,Hip-hop,Male
2018,2,Trap,Male
2018,1,Hip-hop,Male
2018,1,Hip-hop,Male
2018,1,Hip-hop,Female
2018,10,Hip-hop,Male
2018,7,Pop,Male
2018,3,Pop,Female
